BA算法第1次运行
代数	时间	最优值			最佳适应度
1	1.000e-02	3.313933137707216e+05	-3.313933137707216e+05
2	1.000e-02	3.275190740991044e+05	-3.275190740991044e+05
3	1.000e-02	3.195837782138378e+05	-3.195837782138378e+05
4	2.000e-02	3.195837782138378e+05	-3.195837782138378e+05
5	2.000e-02	3.099703489864616e+05	-3.099703489864616e+05
6	2.000e-02	2.533873839361343e+05	-2.533873839361343e+05
7	2.000e-02	2.506742256435195e+05	-2.506742256435195e+05
8	2.000e-02	2.479372355127709e+05	-2.479372355127709e+05
9	2.000e-02	2.426097157841989e+05	-2.426097157841989e+05
10	2.000e-02	2.321969967891155e+05	-2.321969967891155e+05
11	3.000e-02	2.055574341475250e+05	-2.055574341475250e+05
12	3.100e-02	2.042973598892577e+05	-2.042973598892577e+05
13	3.100e-02	2.015428859049868e+05	-2.015428859049868e+05
14	3.100e-02	1.785563988964259e+05	-1.785563988964259e+05
15	3.100e-02	1.780621830204284e+05	-1.780621830204284e+05
16	3.100e-02	1.755977179264064e+05	-1.755977179264064e+05
17	3.100e-02	1.621940632545005e+05	-1.621940632545005e+05
18	3.100e-02	1.401828654276404e+05	-1.401828654276404e+05
19	3.100e-02	1.383561834382705e+05	-1.383561834382705e+05
20	3.100e-02	1.353442929954281e+05	-1.353442929954281e+05
21	3.100e-02	1.350642891743044e+05	-1.350642891743044e+05
22	3.100e-02	1.305616755342829e+05	-1.305616755342829e+05
23	3.100e-02	1.183997294925647e+05	-1.183997294925647e+05
24	3.100e-02	1.154892873032125e+05	-1.154892873032125e+05
25	4.100e-02	1.127892009838589e+05	-1.127892009838589e+05
26	4.100e-02	1.127840627952179e+05	-1.127840627952179e+05
27	4.100e-02	6.841985105877013e+04	-6.841985105877013e+04
28	4.100e-02	6.217806133950291e+04	-6.217806133950291e+04
29	4.100e-02	6.217673319653719e+04	-6.217673319653719e+04
30	4.100e-02	6.212825104966154e+04	-6.212825104966154e+04
31	4.100e-02	6.195267402832799e+04	-6.195267402832799e+04
32	4.100e-02	6.069367452178321e+04	-6.069367452178321e+04
33	4.100e-02	5.678362996355128e+04	-5.678362996355128e+04
34	4.100e-02	5.167900789023413e+04	-5.167900789023413e+04
35	4.100e-02	5.166455536373706e+04	-5.166455536373706e+04
36	4.100e-02	4.333285397926964e+04	-4.333285397926964e+04
37	4.100e-02	4.258021634621066e+04	-4.258021634621066e+04
38	5.100e-02	4.178592474648536e+04	-4.178592474648536e+04
39	5.100e-02	4.129566479545077e+04	-4.129566479545077e+04
40	5.100e-02	4.129566479545077e+04	-4.129566479545077e+04
41	5.100e-02	4.086178948133376e+04	-4.086178948133376e+04
42	5.100e-02	3.724833468900842e+04	-3.724833468900842e+04
43	5.100e-02	3.723875209040053e+04	-3.723875209040053e+04
44	5.100e-02	3.606545267375247e+04	-3.606545267375247e+04
45	5.100e-02	3.605822393425102e+04	-3.605822393425102e+04
46	5.100e-02	3.424429781725863e+04	-3.424429781725863e+04
47	5.100e-02	3.418607420985515e+04	-3.418607420985515e+04
48	5.100e-02	3.363196227903837e+04	-3.363196227903837e+04
49	5.100e-02	3.363150725263212e+04	-3.363150725263212e+04
50	5.100e-02	3.360284591475544e+04	-3.360284591475544e+04
51	6.100e-02	3.009379977737236e+04	-3.009379977737236e+04
52	6.100e-02	2.667609342496276e+04	-2.667609342496276e+04
53	6.100e-02	2.451186042026775e+04	-2.451186042026775e+04
54	6.100e-02	2.451186042026775e+04	-2.451186042026775e+04
55	6.100e-02	2.449912115145216e+04	-2.449912115145216e+04
56	6.100e-02	2.435545084463546e+04	-2.435545084463546e+04
57	6.100e-02	2.432803246314426e+04	-2.432803246314426e+04
58	6.100e-02	2.432803246314426e+04	-2.432803246314426e+04
59	6.100e-02	2.431214150002940e+04	-2.431214150002940e+04
60	6.100e-02	2.430036777396050e+04	-2.430036777396050e+04
61	6.100e-02	2.304777252570023e+04	-2.304777252570023e+04
62	6.100e-02	2.097684169795167e+04	-2.097684169795167e+04
63	6.100e-02	1.684872806048846e+04	-1.684872806048846e+04
64	6.100e-02	1.684720199437804e+04	-1.684720199437804e+04
65	7.100e-02	1.641126011686984e+04	-1.641126011686984e+04
66	7.100e-02	1.639737574190618e+04	-1.639737574190618e+04
67	7.100e-02	1.639737574190618e+04	-1.639737574190618e+04
68	7.100e-02	1.578598280791436e+04	-1.578598280791436e+04
69	7.100e-02	1.578033460888072e+04	-1.578033460888072e+04
70	7.100e-02	1.534199751242898e+04	-1.534199751242898e+04
71	7.100e-02	1.534199751242898e+04	-1.534199751242898e+04
72	7.100e-02	1.534199751242898e+04	-1.534199751242898e+04
73	7.100e-02	1.533468864138966e+04	-1.533468864138966e+04
74	7.100e-02	1.352373877588507e+04	-1.352373877588507e+04
75	7.100e-02	1.352373877588507e+04	-1.352373877588507e+04
76	7.100e-02	1.336528560009384e+04	-1.336528560009384e+04
77	7.100e-02	1.336499437224654e+04	-1.336499437224654e+04
78	8.100e-02	1.261640568824184e+04	-1.261640568824184e+04
79	8.100e-02	1.097383372930697e+04	-1.097383372930697e+04
80	8.100e-02	1.005404933682737e+04	-1.005404933682737e+04
81	8.100e-02	1.005404933682737e+04	-1.005404933682737e+04
82	8.100e-02	9.964239039252076e+03	-9.964239039252076e+03
83	8.100e-02	9.964239039252076e+03	-9.964239039252076e+03
84	8.100e-02	9.791018270131155e+03	-9.791018270131155e+03
85	8.100e-02	9.778097243062168e+03	-9.778097243062168e+03
86	8.100e-02	9.778097243062168e+03	-9.778097243062168e+03
